"Dataset","Model","R_squared"
"Validation Cohort","ELN",0.141630900731139
"Validation Cohort","ELN",0.119052925226945
"Validation Cohort","ELN",0.0655458397344698
"Validation Cohort","ELN",0.0848416279775386
"Validation Cohort","ELN",0.123610704901017
"Validation Cohort","ELN",0.0758660359502707
"Validation Cohort","ELN",0.124200319101415
"Validation Cohort","ELN",0.095171690219749
"Validation Cohort","ELN",0.0996116265674967
"Validation Cohort","ELN",0.127271774183469
"Validation Cohort","ELN",0.115631629604079
"Validation Cohort","ELN",0.118397111144811
"Validation Cohort","ELN",0.098514936981862
"Validation Cohort","ELN",0.0998237956369623
"Validation Cohort","ELN",0.127513768175264
"Validation Cohort","ELN",0.120580444768362
"Validation Cohort","ELN",0.0865546460294273
"Validation Cohort","ELN",0.0983281035814867
"Validation Cohort","ELN",0.122423432784535
"Validation Cohort","ELN",0.122221531693391
"Validation Cohort","ELN",0.117910397772261
"Validation Cohort","ELN",0.104371164635225
"Validation Cohort","ELN",0.113120426318855
"Validation Cohort","ELN",0.124814213940753
"Validation Cohort","ELN",0.0930971771915612
"Validation Cohort","ELN",0.101159175996927
"Validation Cohort","ELN",0.119950822742664
"Validation Cohort","ELN",0.118246414708502
"Validation Cohort","ELN",0.142481269801395
"Validation Cohort","ELN",0.12440588280942
"Validation Cohort","ELN",0.0816975144016184
"Validation Cohort","ELN",0.136055938242968
"Validation Cohort","ELN",0.0830696861933863
"Validation Cohort","ELN",0.13691373636831
"Validation Cohort","ELN",0.109331578621082
"Validation Cohort","ELN",0.11167290185707
"Validation Cohort","ELN",0.0917498025730491
"Validation Cohort","ELN",0.0614285714606726
"Validation Cohort","ELN",0.108194024387871
"Validation Cohort","ELN",0.0899544035881115
"Validation Cohort","ELN",0.124566313394061
"Validation Cohort","ELN",0.127097056426083
"Validation Cohort","ELN",0.102283517835562
"Validation Cohort","ELN",0.13308346253767
"Validation Cohort","ELN",0.133536482583794
