"Dataset","Model","R_squared"
"Training Cohort","ELN",0.0979420583176294
"Training Cohort","ELN",0.127476847338955
"Training Cohort","ELN",0.073283685002132
"Training Cohort","ELN",0.105913384734016
"Training Cohort","ELN",0.117575666546584
"Training Cohort","ELN",0.108838711107118
"Training Cohort","ELN",0.111584671883941
"Training Cohort","ELN",0.0785742531656561
"Training Cohort","ELN",0.119975237776425
"Training Cohort","ELN",0.117451560302771
"Training Cohort","ELN",0.0813580883729335
"Training Cohort","ELN",0.0782398203718925
"Training Cohort","ELN",0.108321275787416
"Training Cohort","ELN",0.100081404700242
"Training Cohort","ELN",0.108897957217586
"Training Cohort","ELN",0.114837540912901
"Training Cohort","ELN",0.110258119519384
"Training Cohort","ELN",0.105238232025098
"Training Cohort","ELN",0.127875280822058
"Training Cohort","ELN",0.104558918763097
"Training Cohort","ELN",0.0902680770943373
"Training Cohort","ELN",0.0823569944918698
"Training Cohort","ELN",0.1134835135346
"Training Cohort","ELN",0.111056903180368
"Training Cohort","ELN",0.104343351749393
"Training Cohort","ELN",0.103365391510514
"Training Cohort","ELN",0.113869429625062
"Training Cohort","ELN",0.129631049907657
"Training Cohort","ELN",0.108924507589726
"Training Cohort","ELN",0.0926826919950473
"Training Cohort","ELN",0.100920538741053
"Training Cohort","ELN",0.126531340777857
"Training Cohort","ELN",0.134798653010042
"Training Cohort","ELN",0.112142346619917
"Training Cohort","ELN",0.0904615539011131
"Training Cohort","ELN",0.122834458859765
"Training Cohort","ELN",0.0993071560911533
