"Dataset","Model","R_squared"
"Training Cohort","ELN",0.102549031477928
"Training Cohort","ELN",0.122463103678227
"Training Cohort","ELN",0.126900211193314
"Training Cohort","ELN",0.137551585400923
"Training Cohort","ELN",0.114291727904631
"Training Cohort","ELN",0.109040615300835
"Training Cohort","ELN",0.116726929644052
"Training Cohort","ELN",0.0933709650369537
"Training Cohort","ELN",0.149401875516822
"Training Cohort","ELN",0.117256527529428
"Training Cohort","ELN",0.0983482481113237
"Training Cohort","ELN",0.0969298109817865
"Training Cohort","ELN",0.129574000550848
"Training Cohort","ELN",0.14443808730226
"Training Cohort","ELN",0.117582403620006
"Training Cohort","ELN",0.142524318936427
"Training Cohort","ELN",0.119804482518398
"Training Cohort","ELN",0.12401785274799
"Training Cohort","ELN",0.0937881135630204
"Training Cohort","ELN",0.112574946375509
"Training Cohort","ELN",0.108067723359214
"Training Cohort","ELN",0.121187206715717
"Training Cohort","ELN",0.127292335776585
"Training Cohort","ELN",0.102680475023711
"Training Cohort","ELN",0.123892744072695
"Training Cohort","ELN",0.118694320293405
"Training Cohort","ELN",0.141717586416559
"Training Cohort","ELN",0.0926478696245508
"Training Cohort","ELN",0.100332931878576
"Training Cohort","ELN",0.124152223075389
"Training Cohort","ELN",0.135444515752017
"Training Cohort","ELN",0.110326893999018
"Training Cohort","ELN",0.106133178621665
"Training Cohort","ELN",0.122601293539718
"Training Cohort","ELN",0.0954228168648925
"Training Cohort","ELN",0.122771774303999
